31;desc;0,0055;0,0082;0,0038;0,0026;0,0036;0,0016;
32;desc;0,0039;0,0015;0,0025;0,002;0,0027;0,0016;
33;desc;0,0038;0,007;0,0026;0,0021;0,0029;0,0014;
34;desc;0,0041;0,0015;0,0027;0,0021;0,0031;0,0015;
35;desc;0,0042;0,0046;0,0028;0,0023;0,0032;0,0017;
36;desc;0,0043;0,0015;0,0027;0,0022;0,0033;0,0015;
37;desc;0,0047;0,0034;0,0028;0,0022;0,0035;0,0017;
38;desc;0,0047;0,0016;0,0082;0,0024;0,0032;0,0017;
39;desc;0,0084;0,0024;0,0054;0,0038;0,0049;0,0024;
40;desc;0,0085;0,0057;0,0046;0,0036;0,0054;0,0025;
41;desc;0,0082;0,0023;0,0083;0,003;0,0045;0,0018;
42;desc;0,0089;0,0025;0,004;0,0028;0,0038;0,002;
43;desc;0,0092;0,0022;0,0103;0,0039;0,0063;0,0026;
44;desc;0,0094;0,0019;0,0076;0,0029;0,0044;0,002;
45;desc;0,0068;0,0017;0,0035;0,0031;0,0052;0,0018;
46;desc;0,0104;0,002;0,008;0,0032;0,0052;0,0018;
47;desc;0,0077;0,0019;0,0092;0,0048;0,0069;0,0031;
48;desc;0,0111;0,0027;0,0077;0,0047;0,008;0,0034;
49;desc;0,0078;0,0041;0,0045;0,0044;0,0058;0,002;
50;desc;0,0079;0,002;0,0091;0,0044;0,0055;0,0022;
51;desc;0,0087;0,0022;0,0099;0,0042;0,006;0,0028;
52;desc;0,0085;0,0026;0,0044;0,004;0,0064;0,0022;
53;desc;0,0093;0,0054;0,0056;0,0046;0,0064;0,0027;
54;desc;0,009;0,002;0,008;0,0044;0,0067;0,0025;
55;desc;0,0091;0,002;0,0074;0,0043;0,0066;0,0023;
56;desc;0,0095;0,0021;0,0043;0,0041;0,0071;0,0023;
57;desc;0,0098;0,0019;0,0044;0,0041;0,0075;0,0025;
58;desc;0,0102;0,0049;0,0045;0,0045;0,008;0,0025;
59;desc;0,0105;0,002;0,0065;0,0047;0,0077;0,0024;
60;desc;0,0108;0,007;0,0048;0,0047;0,0082;0,0026;
61;desc;0,0112;0,0022;0,0077;0,0049;0,0082;0,0024;
62;desc;0,0114;0,002;0,0077;0,005;0,0083;0,0024;
63;desc;0,0118;0,0019;0,0096;0,0052;0,0085;0,0028;
64;desc;0,0127;0,0024;0,0102;0,0059;0,0084;0,0031;
65;desc;0,0131;0,0021;0,0123;0,0063;0,0155;0,0028;
66;desc;0,0149;0,0032;0,0145;0,0071;0,0099;0,003;
67;desc;0,0231;0,0033;0,0164;0,0089;0,0139;0,0047;
68;desc;0,0144;0,0024;0,0129;0,0066;0,0098;0,0031;
69;desc;0,0143;0,0027;0,0136;0,0061;0,0263;0,0046;
70;desc;0,0239;0,0031;0,0149;0,008;0,0135;0,0047;
71;desc;0,0158;0,0029;0,013;0,0064;0,0107;0,0044;
72;desc;0,0152;0,0021;0,0093;0,0064;0,0137;0,0041;
73;desc;0,0154;0,0022;0,0164;0,0073;0,011;0,0034;
74;desc;0,0273;0,0031;0,0147;0,0097;0,0158;0,0051;
75;desc;0,0281;0,0032;0,0145;0,0097;0,0159;0,0047;
76;desc;0,0283;0,0032;0,0165;0,0096;0,0172;0,0051;
77;desc;0,0175;0,0024;0,0135;0,0072;0,0115;0,0033;
78;desc;0,0263;0,0032;0,0167;0,0086;0,0173;0,0045;
79;desc;0,0185;0,0053;0,008;0,0079;0,0123;0,0038;
80;desc;0,0291;0,0071;0,0095;0,0101;0,017;0,0047;
81;desc;0,0192;0,0058;0,0079;0,0071;0,0131;0,0037;
82;desc;0,0194;0,005;0,0068;0,0075;0,0132;0,0039;
83;desc;0,0196;0,0024;0,0113;0,007;0,0136;0,0036;
84;desc;0,0198;0,0048;0,0063;0,0076;0,0139;0,0037;
85;desc;0,0208;0,0061;0,008;0,0087;0,0136;0,0035;
86;desc;0,0209;0,0049;0,0069;0,0077;0,0143;0,0036;
87;desc;0,0212;0,0072;0,0069;0,0075;0,0143;0,0039;
88;desc;0,0223;0,0052;0,0079;0,0087;0,0148;0,004;
89;desc;0,0221;0,0042;0,0112;0,0083;0,0152;0,0038;
90;desc;0,0228;0,0024;0,0104;0,0086;0,015;0,0036;
91;desc;0,0232;0,0052;0,007;0,0087;0,0159;0,0039;
92;desc;0,0236;0,0047;0,007;0,0087;0,0161;0,0037;
93;desc;0,0243;0,0024;0,0096;0,0087;0,0166;0,004;
94;desc;0,0248;0,0027;0,0138;0,0091;0,0165;0,0043;
95;desc;0,0252;0,0044;0,0111;0,0086;0,0163;0,004;
96;desc;0,0257;0,0026;0,0119;0,0089;0,0171;0,0043;
97;desc;0,0263;0,0072;0,0076;0,0081;0,0183;0,0039;
98;desc;0,0267;0,0026;0,0125;0,0093;0,0174;0,0042;
99;desc;0,0284;0,0028;0,0153;0,01;0,0185;0,0047;
100;desc;0,0279;0,0074;0,0095;0,0096;0,0178;0,0043;
